neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_density,Entire home/apt,Private room,Shared room,Hotel room,price_avg
37,41.94242,-87.67134,0,180,4,53,2,1,119,527,394,10,105,18,255.4746192893401
75,41.90567,-87.67311,1,160,2,11,1,11,0,714,488,18,204,4,141.38888888888889
75,41.90686,-87.67319,2,142,2,40,1,11,0,714,488,18,204,4,159.26470588235293
24,41.99244,-87.75569,2,60,3,66,1,2,363,12,4,0,8,0,49.125
24,41.99201,-87.75719,2,50,3,66,1,2,364,12,4,0,8,0,49.125
74,41.99348,-87.68121,2,50,3,26,1,1,358,66,31,0,29,6,52.172413793103445
47,41.90302,-87.63499,0,85,30,150,2,2,0,672,569,38,63,2,210.493848857645
75,41.88999,-87.66096,2,39,1,131,2,6,263,714,488,18,204,4,159.26470588235293
37,41.93932,-87.65218,0,106,2,625,7,4,0,527,394,10,105,18,255.4746192893401
40,41.92255,-87.70293,2,70,2,73,1,3,365,387,304,0,81,2,73.61728395061728
40,41.92669,-87.699,0,165,2,134,2,1,327,387,304,0,81,2,159.0559210526316
39,41.97847,-87.68087,0,75,28,186,3,1,244,89,69,0,20,0,127.30434782608695
41,41.88624,-87.61566,0,130,31,13,1,73,365,366,331,3,31,1,175.2688821752266
40,41.92997,-87.72061,0,72,25,19,1,3,205,387,304,0,81,2,159.0559210526316
49,41.88676,-87.64935,0,150,2,240,3,2,128,314,222,0,89,3,187.6081081081081
51,41.94994,-87.682,2,78,2,128,2,2,0,134,122,0,11,1,67.81818181818181
66,41.96193,-87.66238,2,99,365,0,0,3,365,169,103,3,63,0,87.17460317460318
66,41.96046,-87.66346,0,299,365,16,1,3,365,169,103,3,63,0,183.90291262135923
40,41.92285,-87.68323,0,204,1,57,1,2,364,387,304,0,81,2,159.0559210526316
75,41.90213,-87.67598,0,95,28,87,1,1,82,714,488,18,204,4,191.13319672131146
39,41.96238,-87.68378,0,105,2,59,2,1,266,89,69,0,20,0,127.30434782608695
37,41.9443,-87.64661,0,239,32,15,1,2,365,527,394,10,105,18,255.4746192893401
38,41.9217,-87.65959,2,85,2,98,2,2,0,312,257,0,51,4,106.76470588235294
38,41.9263,-87.65567,0,55,32,36,1,4,365,312,257,0,51,4,199.6614785992218
40,41.92649,-87.7138,2,110,2,145,2,1,204,387,304,0,81,2,73.61728395061728
19,41.88449,-87.69659,2,101,3,23,1,1,362,93,36,0,57,0,49.75438596491228
75,41.90677,-87.66788,2,50,3,133,2,1,0,714,488,18,204,4,159.26470588235293
75,41.89505,-87.65449,0,146,1,274,4,14,345,714,488,18,204,4,191.13319672131146
60,42.00498,-87.66712,2,79,2,209,3,4,0,123,69,0,52,2,63.88461538461539
60,42.00623,-87.66794,2,69,2,240,3,4,264,123,69,0,52,2,63.88461538461539
60,42.00426,-87.66693,2,69,2,233,3,4,264,123,69,0,52,2,63.88461538461539
60,42.00381,-87.67082,0,169,2,176,2,4,263,123,69,0,52,2,152.69565217391303
