neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_density,Entire home/apt,Private room,Shared room,Hotel room,price_avg
40,41.91604,-87.68284,0,156,2,141,3,4,263,387,304,0,81,2,159.0559210526316
37,41.94105,-87.64896,2,125,1,38,1,1,365,527,394,10,105,18,182.5142857142857
41,41.88617,-87.6161,0,125,31,10,1,73,1,366,331,3,31,1,175.2688821752266
41,41.88676,-87.61682,0,200,31,3,1,73,365,366,331,3,31,1,175.2688821752266
49,41.88097,-87.68732,2,55,32,25,1,9,364,314,222,0,89,3,61.337078651685395
42,41.85919,-87.64424,0,83,30,258,5,2,260,189,119,0,68,2,113.11764705882354
42,41.8595,-87.65737,0,128,2,240,5,2,233,189,119,0,68,2,113.11764705882354
21,41.98396,-87.67139,0,80,1,194,5,1,78,170,98,0,70,2,130.40816326530611
38,41.928,-87.66358,0,150,2,14,1,2,0,312,257,0,51,4,199.6614785992218
41,41.88743,-87.61642,0,140,32,1,1,73,365,366,331,3,31,1,175.2688821752266
41,41.88625,-87.61672,0,150,60,1,1,73,365,366,331,3,31,1,175.2688821752266
49,41.88111,-87.68242,0,450,2,102,2,2,78,314,222,0,89,3,187.6081081081081
75,41.90625,-87.6844,0,139,2,193,4,1,149,714,488,18,204,4,191.13319672131146
49,41.86832,-87.66222,2,55,2,236,5,1,235,314,222,0,89,3,61.337078651685395
10,41.83515,-87.63709,2,65,1,145,3,1,263,112,79,0,32,1,62.0
21,41.97942,-87.6727,0,175,2,27,1,1,263,170,98,0,70,2,130.40816326530611
64,41.84007,-87.70975,0,60,1,204,4,1,255,41,29,0,11,1,78.96551724137932
40,41.92042,-87.71085,0,74,3,7,1,2,0,387,304,0,81,2,159.0559210526316
49,41.88809,-87.64274,0,110,31,2,1,15,365,314,222,0,89,3,187.6081081081081
75,41.91031,-87.69356,2,34,5,132,3,1,92,714,488,18,204,4,159.26470588235293
40,41.92263,-87.71799,0,63,2,121,4,1,109,387,304,0,81,2,159.0559210526316
37,41.93953,-87.65486,2,70,1,43,1,1,364,527,394,10,105,18,182.5142857142857
33,41.80036,-87.60606,0,173,2,42,1,2,0,93,51,0,42,0,94.86274509803921
47,41.88792,-87.63296,0,177,17,7,1,26,351,672,569,38,63,2,210.493848857645
47,41.89551,-87.63381,0,155,30,1,1,31,299,672,569,38,63,2,210.493848857645
47,41.88862,-87.63385,0,189,30,14,1,31,50,672,569,38,63,2,210.493848857645
41,41.88582,-87.61943,0,155,30,11,1,31,90,366,331,3,31,1,175.2688821752266
41,41.88641,-87.62059,0,162,30,3,1,31,365,366,331,3,31,1,175.2688821752266
57,41.95385,-87.77997,0,99,2,96,2,1,331,83,58,0,25,0,129.3448275862069
75,41.89606,-87.66201,0,170,4,210,4,2,0,714,488,18,204,4,191.13319672131146
51,41.95297,-87.67502,0,182,2,300,6,4,338,134,122,0,11,1,172.98360655737704
5,41.88966,-87.77417,0,129,2,23,1,1,0,49,27,0,22,0,146.96296296296296
41,41.88788,-87.61566,0,200,31,4,1,73,365,366,331,3,31,1,175.2688821752266
38,41.91876,-87.64187,0,125,2,238,5,1,115,312,257,0,51,4,199.6614785992218
40,41.92239,-87.71521,0,103,3,194,4,1,319,387,304,0,81,2,159.0559210526316
51,41.94614,-87.68242,0,266,1,10,1,20,326,134,122,0,11,1,172.98360655737704
37,41.95258,-87.66299,0,139,2,89,2,1,363,527,394,10,105,18,255.4746192893401
38,41.92046,-87.64894,0,269,4,81,2,6,0,312,257,0,51,4,199.6614785992218
37,41.95412,-87.6684,0,269,4,55,2,6,206,527,394,10,105,18,255.4746192893401
47,41.89451,-87.61549,0,220,31,0,0,15,365,672,569,38,63,2,210.493848857645
37,41.95412,-87.6684,0,269,4,65,2,6,202,527,394,10,105,18,255.4746192893401
37,41.95412,-87.6684,0,375,4,71,2,6,134,527,394,10,105,18,255.4746192893401
51,41.94231,-87.67952,0,69,1,120,3,2,340,134,122,0,11,1,172.98360655737704
57,41.95007,-87.74386,0,390,3,74,2,1,143,83,58,0,25,0,129.3448275862069
76,41.785,-87.60939,2,45,28,18,1,9,364,83,28,0,55,0,45.49090909090909
76,41.78415,-87.61066,2,45,28,29,1,9,263,83,28,0,55,0,45.49090909090909
41,41.88751,-87.61896,0,151,30,11,1,26,365,366,331,3,31,1,175.2688821752266
47,41.90985,-87.6377,0,135,3,0,0,1,0,672,569,38,63,2,210.493848857645
2,41.84885,-87.63121,2,49,1,147,3,7,89,65,28,0,37,0,46.2972972972973
40,41.92335,-87.69994,2,51,2,12,1,3,0,387,304,0,81,2,73.61728395061728
10,41.82994,-87.64503,0,350,1,1,1,2,0,112,79,0,32,1,133.32911392405063
37,41.93444,-87.67293,0,450,180,0,0,1,172,527,394,10,105,18,255.4746192893401
0,41.96694,-87.70583,2,60,2,1,1,1,83,65,29,0,36,0,50.97222222222222
75,41.90767,-87.67617,0,80,3,0,0,1,0,714,488,18,204,4,191.13319672131146
41,41.88676,-87.61682,0,86,31,1,1,27,365,366,331,3,31,1,175.2688821752266
42,41.85539,-87.65067,0,269,3,130,3,1,233,189,119,0,68,2,113.11764705882354
37,41.94174,-87.66175,0,53,1,106,3,1,0,527,394,10,105,18,255.4746192893401
19,41.88145,-87.69596,2,26,3,91,2,2,230,93,36,0,57,0,49.75438596491228
37,41.93855,-87.64819,0,115,2,146,3,1,82,527,394,10,105,18,255.4746192893401
49,41.88097,-87.68732,2,54,14,26,1,9,365,314,222,0,89,3,61.337078651685395
49,41.88097,-87.68732,2,49,32,36,1,9,364,314,222,0,89,3,61.337078651685395
47,41.89774,-87.62077,2,78,1,206,4,2,75,672,569,38,63,2,141.74603174603175
75,41.91313,-87.68721,0,85,1,6,1,1,0,714,488,18,204,4,191.13319672131146
33,41.80157,-87.59705,2,40,1,196,4,1,0,93,51,0,42,0,85.71428571428571
19,41.88622,-87.70059,2,49,1,245,5,2,0,93,36,0,57,0,49.75438596491228
47,41.8998,-87.62463,0,281,2,69,2,2,82,672,569,38,63,2,210.493848857645
34,41.95686,-87.71586,0,299,2,49,1,1,178,154,83,0,67,4,169.0
2,41.84787,-87.63258,2,49,1,158,3,7,89,65,28,0,37,0,46.2972972972973
38,41.9189,-87.64421,0,129,2,223,5,1,260,312,257,0,51,4,199.6614785992218
48,41.86442,-87.62143,0,116,3,22,1,1,0,142,113,0,29,0,172.92920353982302
66,41.97343,-87.65546,2,31,2,98,2,1,347,169,103,3,63,0,87.17460317460318
47,41.88777,-87.63402,0,120,31,0,0,27,365,672,569,38,63,2,210.493848857645
19,41.8872,-87.7144,0,130,3,53,2,1,166,93,36,0,57,0,120.55555555555556
47,41.89369,-87.61549,0,195,120,1,1,27,365,672,569,38,63,2,210.493848857645
7,41.93541,-87.69374,0,247,1,56,2,1,311,146,107,0,34,5,160.33644859813083
47,41.88834,-87.63429,0,239,30,7,1,26,365,672,569,38,63,2,210.493848857645
21,41.99131,-87.66687,0,75,2,153,3,1,322,170,98,0,70,2,130.40816326530611
75,41.91131,-87.68605,2,47,1,200,4,1,0,714,488,18,204,4,159.26470588235293
47,41.89335,-87.61542,0,304,3,7,1,3,364,672,569,38,63,2,210.493848857645
21,41.98642,-87.66189,2,103,2,98,2,1,341,170,98,0,70,2,83.51428571428572
57,41.94001,-87.75531,2,58,2,16,1,16,365,83,58,0,25,0,61.12
38,41.91885,-87.64097,0,250,4,33,1,1,81,312,257,0,51,4,199.6614785992218
47,41.89477,-87.62753,0,182,29,2,1,2,173,672,569,38,63,2,210.493848857645
0,41.97,-87.73339,2,33,3,51,2,1,0,65,29,0,36,0,50.97222222222222
40,41.91498,-87.69912,0,99,3,34,1,1,362,387,304,0,81,2,159.0559210526316
39,41.9659,-87.68128,0,182,1,21,1,4,1,89,69,0,20,0,127.30434782608695
41,41.86745,-87.63104,0,79,31,1,1,27,365,366,331,3,31,1,175.2688821752266
57,41.95392,-87.75014,0,75,2,32,1,1,0,83,58,0,25,0,129.3448275862069
34,41.9511,-87.72433,0,263,1,11,1,1,362,154,83,0,67,4,169.0
37,41.95158,-87.65546,0,368,2,57,2,1,57,527,394,10,105,18,255.4746192893401
75,41.90621,-87.67045,0,135,3,80,2,3,3,714,488,18,204,4,191.13319672131146
0,41.96689,-87.70578,0,175,31,3,1,1,365,65,29,0,36,0,138.44827586206895
75,41.91184,-87.69954,0,80,2,105,2,1,130,714,488,18,204,4,191.13319672131146
37,41.9477,-87.6601,0,159,1,165,4,1,320,527,394,10,105,18,255.4746192893401
75,41.90965,-87.68295,2,100,1,33,2,1,180,714,488,18,204,4,159.26470588235293
33,41.7977,-87.60196,0,60,2,154,4,1,215,93,51,0,42,0,94.86274509803921
37,41.94434,-87.66925,0,107,3,36,1,1,180,527,394,10,105,18,255.4746192893401
74,41.99738,-87.69713,2,65,1,1,1,1,364,66,31,0,29,6,52.172413793103445
57,41.9401,-87.75674,2,63,2,13,1,16,365,83,58,0,25,0,61.12
51,41.94411,-87.68078,0,245,2,73,2,1,346,134,122,0,11,1,172.98360655737704
21,41.99127,-87.66796,0,48,10,5,1,1,0,170,98,0,70,2,130.40816326530611
47,41.89862,-87.62138,0,130,31,0,0,15,365,672,569,38,63,2,210.493848857645
28,41.81441,-87.6201,3,29,1,12,1,11,365,104,52,0,48,4,32.0
28,41.81449,-87.62124,2,39,1,16,1,11,365,104,52,0,48,4,95.20833333333333
37,41.93779,-87.65843,0,110,2,78,2,3,4,527,394,10,105,18,255.4746192893401
49,41.88747,-87.63966,0,140,60,0,0,73,365,314,222,0,89,3,187.6081081081081
38,41.9294,-87.66269,2,102,1,12,1,2,0,312,257,0,51,4,106.76470588235294
75,41.89414,-87.65834,0,160,7,136,3,2,0,714,488,18,204,4,191.13319672131146
33,41.8008,-87.59873,2,62,1,128,3,4,0,93,51,0,42,0,85.71428571428571
33,41.80131,-87.59909,2,46,1,164,4,4,144,93,51,0,42,0,85.71428571428571
38,41.91363,-87.64204,0,200,3,205,4,1,78,312,257,0,51,4,199.6614785992218
2,41.8485,-87.63115,2,49,1,197,4,7,81,65,28,0,37,0,46.2972972972973
39,41.97957,-87.69131,0,114,1,1,1,1,0,89,69,0,20,0,127.30434782608695
41,41.88627,-87.61949,0,92,30,12,1,26,284,366,331,3,31,1,175.2688821752266
75,41.89339,-87.65813,0,180,4,24,1,1,51,714,488,18,204,4,191.13319672131146
37,41.94759,-87.65228,2,125,365,84,2,3,0,527,394,10,105,18,182.5142857142857
66,41.96162,-87.67258,0,195,2,19,1,2,176,169,103,3,63,0,183.90291262135923
47,41.90032,-87.6313,0,97,1,370,7,5,68,672,569,38,63,2,210.493848857645
7,41.93279,-87.71724,0,69,20,33,1,1,345,146,107,0,34,5,160.33644859813083
37,41.93918,-87.65839,2,80,3,99,2,2,270,527,394,10,105,18,182.5142857142857
75,41.89324,-87.65993,2,76,2,98,2,4,132,714,488,18,204,4,159.26470588235293
34,41.95496,-87.73789,0,264,2,13,1,1,179,154,83,0,67,4,169.0
60,41.9992,-87.67209,2,35,1,257,5,4,66,123,69,0,52,2,63.88461538461539
47,41.88968,-87.63421,0,130,31,7,1,73,365,672,569,38,63,2,210.493848857645
40,41.92529,-87.71063,0,179,2,106,3,1,145,387,304,0,81,2,159.0559210526316
36,41.81485,-87.5978,0,289,3,31,1,3,179,42,25,0,17,0,188.84
33,41.80162,-87.58585,2,47,1,109,3,1,2,93,51,0,42,0,85.71428571428571
47,41.89411,-87.63129,0,157,60,2,1,73,364,672,569,38,63,2,210.493848857645
75,41.90104,-87.65754,0,56,1,238,5,1,68,714,488,18,204,4,191.13319672131146
74,41.99601,-87.70337,2,75,2,0,0,1,364,66,31,0,29,6,52.172413793103445
75,41.90993,-87.6662,0,194,3,192,4,4,339,714,488,18,204,4,191.13319672131146
47,41.89862,-87.62138,0,100,60,0,0,10,365,672,569,38,63,2,210.493848857645
57,41.93878,-87.75535,0,227,1,11,1,16,365,83,58,0,25,0,129.3448275862069
42,41.85915,-87.64327,2,79,2,34,1,2,140,189,119,0,68,2,94.72058823529412
36,41.8166,-87.59743,0,289,3,7,1,3,179,42,25,0,17,0,188.84
42,41.84897,-87.67931,2,30,14,35,1,1,352,189,119,0,68,2,94.72058823529412
39,41.96436,-87.68983,2,28,1,46,2,1,0,89,69,0,20,0,54.1
38,41.92169,-87.63849,0,186,3,35,1,1,342,312,257,0,51,4,199.6614785992218
75,41.89632,-87.69196,0,90,2,198,4,1,325,714,488,18,204,4,191.13319672131146
75,41.90017,-87.69663,0,138,2,74,2,2,2,714,488,18,204,4,191.13319672131146
36,41.81506,-87.59795,0,425,2,42,1,1,262,42,25,0,17,0,188.84
47,41.88895,-87.63364,0,110,31,1,1,27,365,672,569,38,63,2,210.493848857645
34,41.94932,-87.70292,0,75,2,142,3,2,240,154,83,0,67,4,169.0
21,41.98761,-87.66181,0,73,1,108,3,37,144,170,98,0,70,2,130.40816326530611
37,41.94539,-87.64854,0,117,3,246,5,1,317,527,394,10,105,18,255.4746192893401
37,41.94491,-87.6545,0,249,3,12,1,1,364,527,394,10,105,18,255.4746192893401
37,41.95014,-87.647,0,80,1,30,1,1,0,527,394,10,105,18,255.4746192893401
10,41.84077,-87.64956,2,28,1,65,2,2,341,112,79,0,32,1,62.0
34,41.96192,-87.73576,2,44,2,17,1,12,270,154,83,0,67,4,55.298507462686565
75,41.91193,-87.67681,2,60,3,32,1,1,0,714,488,18,204,4,159.26470588235293
49,41.88805,-87.64477,0,179,3,29,1,1,167,314,222,0,89,3,187.6081081081081
40,41.92443,-87.69994,0,393,2,69,2,4,359,387,304,0,81,2,159.0559210526316
38,41.92699,-87.66514,2,50,1,4,1,1,0,312,257,0,51,4,106.76470588235294
33,41.79771,-87.60163,0,140,3,49,1,2,317,93,51,0,42,0,94.86274509803921
48,41.8473,-87.61789,0,105,2,229,5,1,336,142,113,0,29,0,172.92920353982302
76,41.78414,-87.60496,0,100,3,67,2,1,263,83,28,0,55,0,117.78571428571429
42,41.8539,-87.6754,0,175,3,99,2,1,173,189,119,0,68,2,113.11764705882354
75,41.89324,-87.66805,0,389,2,167,4,3,86,714,488,18,204,4,191.13319672131146
47,41.90465,-87.63704,0,135,1,2,1,1,0,672,569,38,63,2,210.493848857645
51,41.93905,-87.68125,0,157,2,112,3,1,320,134,122,0,11,1,172.98360655737704
2,41.85019,-87.63096,2,59,1,153,3,7,88,65,28,0,37,0,46.2972972972973
51,41.9462,-87.67828,0,94,2,224,5,1,296,134,122,0,11,1,172.98360655737704
21,41.98906,-87.66497,0,199,3,83,2,1,7,170,98,0,70,2,130.40816326530611
47,41.89561,-87.63473,0,300,2,147,3,2,170,672,569,38,63,2,210.493848857645
5,41.91165,-87.79507,2,70,1,17,1,1,363,49,27,0,22,0,37.22727272727273
37,41.93899,-87.66523,0,107,1,326,7,1,1,527,394,10,105,18,255.4746192893401
75,41.91107,-87.68164,0,250,2,11,1,1,0,714,488,18,204,4,191.13319672131146
0,41.97094,-87.71624,0,90,1,27,1,1,0,65,29,0,36,0,138.44827586206895
75,41.90822,-87.67265,0,159,2,98,2,1,147,714,488,18,204,4,191.13319672131146
75,41.90482,-87.69073,0,93,1,204,4,1,137,714,488,18,204,4,191.13319672131146
39,41.96502,-87.68109,2,66,1,97,2,4,0,89,69,0,20,0,54.1
75,41.90484,-87.67998,0,342,2,142,3,1,88,714,488,18,204,4,191.13319672131146
40,41.93026,-87.7062,0,255,5,131,3,1,265,387,304,0,81,2,159.0559210526316
37,41.94432,-87.65429,0,200,3,82,2,3,11,527,394,10,105,18,255.4746192893401
48,41.86061,-87.62267,0,150,4,64,2,1,179,142,113,0,29,0,172.92920353982302
40,41.92581,-87.7002,0,443,2,48,1,4,356,387,304,0,81,2,159.0559210526316
19,41.88302,-87.7096,2,39,3,395,8,9,317,93,36,0,57,0,49.75438596491228
29,41.76769,-87.63009,2,29,3,41,1,5,125,30,14,0,12,4,43.916666666666664
42,41.84768,-87.68375,0,40,14,2,1,2,0,189,119,0,68,2,113.11764705882354
75,41.91165,-87.67486,0,89,2,37,1,1,296,714,488,18,204,4,191.13319672131146
75,41.89196,-87.66337,0,175,1,71,2,2,231,714,488,18,204,4,191.13319672131146
28,41.80704,-87.62401,2,55,2,182,4,5,0,104,52,0,48,4,95.20833333333333
19,41.88402,-87.69311,0,65,3,242,5,3,74,93,36,0,57,0,120.55555555555556
19,41.88302,-87.7096,2,38,3,353,7,9,181,93,36,0,57,0,49.75438596491228
38,41.92041,-87.6376,0,300,2,12,1,1,0,312,257,0,51,4,199.6614785992218
38,41.92598,-87.66694,0,115,2,100,3,1,209,312,257,0,51,4,199.6614785992218
19,41.88302,-87.7096,2,41,3,377,8,9,167,93,36,0,57,0,49.75438596491228
66,41.96784,-87.66225,2,72,1,64,2,1,101,169,103,3,63,0,87.17460317460318
40,41.92478,-87.70913,0,75,7,49,2,1,0,387,304,0,81,2,159.0559210526316
36,41.80725,-87.6037,0,80,1,0,0,1,109,42,25,0,17,0,188.84
7,41.94056,-87.72326,2,30,6,20,1,1,0,146,107,0,34,5,64.08823529411765
75,41.89535,-87.68124,2,77,1,155,4,1,363,714,488,18,204,4,159.26470588235293
37,41.95021,-87.65231,0,174,3,156,4,1,322,527,394,10,105,18,255.4746192893401
40,41.9177,-87.67214,0,67,2,148,3,1,0,387,304,0,81,2,159.0559210526316
51,41.95521,-87.68862,0,132,2,26,1,6,364,134,122,0,11,1,172.98360655737704
51,41.95639,-87.68819,0,132,2,28,1,6,364,134,122,0,11,1,172.98360655737704
75,41.89579,-87.66379,2,71,2,113,3,6,351,714,488,18,204,4,159.26470588235293
28,41.81574,-87.62043,2,45,1,23,1,11,365,104,52,0,48,4,95.20833333333333
57,41.95141,-87.76231,0,95,3,25,1,1,324,83,58,0,25,0,129.3448275862069
40,41.92309,-87.68304,0,70,2,111,3,1,81,387,304,0,81,2,159.0559210526316
7,41.9445,-87.72148,0,99,1,55,2,1,263,146,107,0,34,5,160.33644859813083
42,41.85845,-87.64203,2,50,2,4,1,1,0,189,119,0,68,2,94.72058823529412
39,41.97765,-87.68416,2,40,3,160,4,1,119,89,69,0,20,0,54.1
28,41.80704,-87.62401,2,55,2,119,3,5,0,104,52,0,48,4,95.20833333333333
33,41.80174,-87.6006,2,55,1,177,4,4,83,93,51,0,42,0,85.71428571428571
33,41.7902,-87.59801,2,86,2,153,4,2,347,93,51,0,42,0,85.71428571428571
33,41.80129,-87.60049,2,58,1,179,4,4,1,93,51,0,42,0,85.71428571428571
38,41.92112,-87.64102,2,49,1,88,2,2,90,312,257,0,51,4,106.76470588235294
37,41.93572,-87.66883,0,1400,2,23,1,1,363,527,394,10,105,18,255.4746192893401
10,41.83158,-87.65359,0,48,3,140,3,1,70,112,79,0,32,1,133.32911392405063
38,41.93167,-87.64635,2,175,2,56,2,1,0,312,257,0,51,4,106.76470588235294
36,41.80242,-87.59786,2,150,3,4,1,1,0,42,25,0,17,0,74.88235294117646
32,41.91257,-87.71951,0,199,2,96,2,1,0,63,41,0,18,4,107.17073170731707
49,41.883,-87.67048,2,80,1,71,2,1,139,314,222,0,89,3,61.337078651685395
39,41.97223,-87.69509,2,45,1,1,1,1,5,89,69,0,20,0,54.1
36,41.80285,-87.60288,0,67,15,19,1,1,288,42,25,0,17,0,188.84
33,41.80088,-87.59572,0,175,2,71,2,1,0,93,51,0,42,0,94.86274509803921
40,41.92257,-87.70115,0,76,1,154,4,1,0,387,304,0,81,2,159.0559210526316
47,41.90882,-87.63829,0,150,2,11,1,1,232,672,569,38,63,2,210.493848857645
41,41.86896,-87.63172,0,220,60,6,1,73,365,366,331,3,31,1,175.2688821752266
75,41.91021,-87.67685,0,120,3,102,3,1,252,714,488,18,204,4,191.13319672131146
75,41.89566,-87.66226,2,92,1,46,1,6,87,714,488,18,204,4,159.26470588235293
38,41.92494,-87.64154,2,61,1,100,2,2,90,312,257,0,51,4,106.76470588235294
7,41.93487,-87.69517,0,70,2,80,2,1,52,146,107,0,34,5,160.33644859813083
36,41.80328,-87.59192,0,125,1,33,1,1,0,42,25,0,17,0,188.84
75,41.88954,-87.6604,2,51,2,175,4,1,139,714,488,18,204,4,159.26470588235293
31,41.92412,-87.74151,0,66,1,316,7,2,352,19,13,0,6,0,85.3076923076923
75,41.90625,-87.66507,0,120,1,4,1,1,0,714,488,18,204,4,191.13319672131146
66,41.96937,-87.65686,0,86,2,257,6,1,328,169,103,3,63,0,183.90291262135923
42,41.85818,-87.67783,0,62,2,440,9,1,67,189,119,0,68,2,113.11764705882354
37,41.94555,-87.65156,0,50,1,120,3,4,321,527,394,10,105,18,255.4746192893401
8,41.93643,-87.78891,0,55,2,30,1,1,244,25,13,0,11,1,83.61538461538461
21,41.9796,-87.66739,0,178,1,122,3,1,0,170,98,0,70,2,130.40816326530611
29,41.76769,-87.63009,2,34,3,35,1,5,119,30,14,0,12,4,43.916666666666664
29,41.76711,-87.62927,2,29,3,45,1,5,125,30,14,0,12,4,43.916666666666664
29,41.76769,-87.63009,0,119,3,6,1,5,119,30,14,0,12,4,122.07142857142857
29,41.76769,-87.63009,2,29,3,33,1,5,125,30,14,0,12,4,43.916666666666664
38,41.92369,-87.65731,0,200,2,64,2,1,0,312,257,0,51,4,199.6614785992218
21,41.99422,-87.67209,0,125,2,104,3,1,247,170,98,0,70,2,130.40816326530611
21,41.98948,-87.66191,2,45,20,11,1,3,326,170,98,0,70,2,83.51428571428572
21,41.9906,-87.66062,2,39,20,16,1,3,234,170,98,0,70,2,83.51428571428572
75,41.89184,-87.65774,0,126,2,216,5,4,351,714,488,18,204,4,191.13319672131146
40,41.91622,-87.7111,0,84,1,442,9,2,334,387,304,0,81,2,159.0559210526316
75,41.89857,-87.6699,2,56,1,189,4,2,312,714,488,18,204,4,159.26470588235293
28,41.80677,-87.61204,0,69,3,128,3,1,292,104,52,0,48,4,143.78846153846155
49,41.86183,-87.64696,0,400,2,39,1,1,365,314,222,0,89,3,187.6081081081081
37,41.94441,-87.65102,0,74,2,220,5,1,145,527,394,10,105,18,255.4746192893401
47,41.90642,-87.63454,0,125,2,5,1,1,0,672,569,38,63,2,210.493848857645
66,41.96964,-87.6532,0,250,1,56,2,1,0,169,103,3,63,0,183.90291262135923
75,41.9015,-87.66299,2,137,1,35,1,1,88,714,488,18,204,4,159.26470588235293
31,41.93437,-87.73976,2,30,30,40,1,2,356,19,13,0,6,0,34.833333333333336
40,41.92871,-87.70862,0,113,2,20,1,1,0,387,304,0,81,2,159.0559210526316
75,41.90519,-87.67982,0,300,3,70,2,1,49,714,488,18,204,4,191.13319672131146
40,41.91642,-87.70351,0,43,1,338,7,1,0,387,304,0,81,2,159.0559210526316
38,41.91169,-87.63957,0,240,1,219,5,1,307,312,257,0,51,4,199.6614785992218
49,41.88097,-87.68732,2,60,14,17,1,9,180,314,222,0,89,3,61.337078651685395
47,41.89237,-87.64062,0,76,2,13,1,1,0,672,569,38,63,2,210.493848857645
75,41.89024,-87.66333,0,179,2,88,2,2,352,714,488,18,204,4,191.13319672131146
57,41.95878,-87.76936,2,46,2,71,2,3,70,83,58,0,25,0,61.12
21,41.99577,-87.67156,2,43,1,203,5,4,49,170,98,0,70,2,83.51428571428572
47,41.89556,-87.627,0,71,31,20,1,1,315,672,569,38,63,2,210.493848857645
76,41.77438,-87.59205,0,64,30,1,1,1,310,83,28,0,55,0,117.78571428571429
65,41.76689,-87.56783,0,74,1,24,1,12,180,90,41,0,48,1,128.26829268292684
40,41.91957,-87.71262,0,134,2,224,5,3,332,387,304,0,81,2,159.0559210526316
19,41.8867,-87.71371,0,71,2,123,3,1,78,93,36,0,57,0,120.55555555555556
37,41.94302,-87.65687,2,110,1,64,2,4,67,527,394,10,105,18,182.5142857142857
55,41.82262,-87.60412,2,50,2,124,3,1,69,16,8,0,8,0,60.875
33,41.80064,-87.60409,2,41,2,5,1,1,143,93,51,0,42,0,85.71428571428571
75,41.89664,-87.66739,2,67,1,224,5,1,169,714,488,18,204,4,159.26470588235293
42,41.85663,-87.65504,2,42,1,93,2,1,123,189,119,0,68,2,94.72058823529412
75,41.90143,-87.67872,0,73,3,153,4,4,361,714,488,18,204,4,191.13319672131146
57,41.94983,-87.75003,0,60,1,252,6,1,324,83,58,0,25,0,129.3448275862069
57,41.94396,-87.75304,0,91,1,62,2,1,0,83,58,0,25,0,129.3448275862069
75,41.90202,-87.67111,0,129,2,20,1,3,0,714,488,18,204,4,191.13319672131146
51,41.94488,-87.68465,0,147,2,117,3,1,50,134,122,0,11,1,172.98360655737704
21,41.99047,-87.66202,0,73,1,102,3,37,61,170,98,0,70,2,130.40816326530611
21,41.99057,-87.6724,2,50,3,149,4,3,155,170,98,0,70,2,83.51428571428572
17,41.83068,-87.61892,0,168,3,96,3,2,16,58,36,0,21,1,156.25
17,41.83076,-87.61885,0,141,3,5,1,2,354,58,36,0,21,1,156.25
7,41.93437,-87.70885,0,96,28,20,1,2,121,146,107,0,34,5,160.33644859813083
74,42.00104,-87.69588,0,43,2,76,2,1,0,66,31,0,29,6,131.6451612903226
51,41.94322,-87.68633,0,96,2,94,2,1,329,134,122,0,11,1,172.98360655737704
37,41.95006,-87.67207,0,171,1,143,3,2,232,527,394,10,105,18,255.4746192893401
40,41.92055,-87.67794,0,203,4,52,2,5,342,387,304,0,81,2,159.0559210526316
40,41.92214,-87.68344,0,360,4,24,1,5,365,387,304,0,81,2,159.0559210526316
40,41.92214,-87.68344,0,167,4,22,1,5,163,387,304,0,81,2,159.0559210526316
40,41.92214,-87.68344,0,179,4,28,1,5,358,387,304,0,81,2,159.0559210526316
60,42.00846,-87.66193,2,54,1,16,2,1,327,123,69,0,52,2,63.88461538461539
47,41.89,-87.63133,2,101,1,453,10,8,337,672,569,38,63,2,141.74603174603175
34,41.95003,-87.70999,2,110,1,18,1,1,179,154,83,0,67,4,55.298507462686565
48,41.86596,-87.6267,0,79,2,139,3,2,352,142,113,0,29,0,172.92920353982302
49,41.87703,-87.66599,0,136,2,179,4,1,350,314,222,0,89,3,187.6081081081081
47,41.90339,-87.62925,0,106,4,72,2,5,66,672,569,38,63,2,210.493848857645
42,41.85297,-87.68363,2,54,1,23,1,1,81,189,119,0,68,2,94.72058823529412
75,41.89798,-87.67878,0,249,2,76,2,2,359,714,488,18,204,4,191.13319672131146
47,41.89939,-87.63653,0,156,1,117,3,8,4,672,569,38,63,2,210.493848857645
43,41.83258,-87.67673,0,69,3,112,3,1,20,26,13,0,13,0,244.6153846153846
49,41.88094,-87.67837,0,137,2,210,5,3,262,314,222,0,89,3,187.6081081081081
47,41.89436,-87.6172,0,150,31,1,1,15,365,672,569,38,63,2,210.493848857645
34,41.96385,-87.73556,2,50,2,10,1,12,89,154,83,0,67,4,55.298507462686565
75,41.89855,-87.69531,0,250,3,24,1,1,0,714,488,18,204,4,191.13319672131146
0,41.97221,-87.73987,0,75,2,25,2,1,134,65,29,0,36,0,138.44827586206895
39,41.96215,-87.67933,0,49,3,33,1,1,0,89,69,0,20,0,127.30434782608695
28,41.81269,-87.61059,2,65,1,89,3,4,204,104,52,0,48,4,95.20833333333333
75,41.90002,-87.66215,0,221,2,9,1,1,0,714,488,18,204,4,191.13319672131146
41,41.86878,-87.62718,0,100,14,33,1,1,0,366,331,3,31,1,175.2688821752266
42,41.85784,-87.67194,2,36,1,12,1,2,0,189,119,0,68,2,94.72058823529412
37,41.93422,-87.64998,0,187,2,114,3,2,157,527,394,10,105,18,255.4746192893401
37,41.9487,-87.65062,0,454,20,18,1,1,260,527,394,10,105,18,255.4746192893401
40,41.91515,-87.68791,2,50,4,83,2,1,0,387,304,0,81,2,73.61728395061728
66,41.96033,-87.6366,0,300,1,7,1,2,0,169,103,3,63,0,183.90291262135923
